//graf1
1, 2, 45
1, 3, 83
1, 4, 19

2, 5, 57
2, 6, 68
2, 7, 21

3, 5, 92
3, 6, 33
3, 7, 61

4, 5, 28
4, 6, 74
4, 7, 51

5, 8, 16

6, 8, 94

7, 8, 12

//graf2
1, 2, 85
1, 3, 38
1, 4, 57

2, 5, 16
2, 6, 92
2, 7, 81

3, 5, 56
3, 6, 49
3, 7, 64

4, 5, 70
4, 6, 56
4, 7, 39

5, 8, 72

6, 8, 23

7, 8, 60

//graf3
1, 2, 92
1, 3, 11
1, 4, 89

2, 5, 40
2, 6, 83
2, 7, 10

3, 5, 64
3, 6, 75
3, 7, 24

4, 5, 36
4, 6, 58
4, 7, 63

5, 8, 28

6, 8, 50

7, 8, 87

//graf4
1, 2, 23
1, 3, 61
1, 4, 56

2, 5, 79
2, 6, 62
2, 7, 93

3, 5, 34
3, 6, 87
3, 7, 50

4, 5, 63
4, 6, 88
4, 7, 26

5, 8, 38

6, 8, 80

7, 8, 42

//graf5
1, 2, 21
1, 3, 30
1, 4, 95

2, 5, 11
2, 6, 56
2, 7, 68

3, 5, 27
3, 6, 77
3, 7, 85

4, 5, 45
4, 6, 60
4, 7, 72

5, 8, 53

6, 8, 93

7, 8, 77

//graf6
1, 2, 72
1, 3, 14
1, 4, 50

2, 5, 92
2, 6, 34
2, 7, 45

3, 5, 10
3, 6, 28
3, 7, 95

4, 5, 82
4, 6, 36
4, 7, 20

5, 8, 44

6, 8, 77

7, 8, 81

//graf7
1, 2, 27
1, 3, 35
1, 4, 53

2, 5, 48
2, 6, 22
2, 7, 91

3, 5, 56
3, 6, 88
3, 7, 27

4, 5, 12
4, 6, 99
4, 7, 54

5, 8, 83

6, 8, 70

7, 8, 15

//graf8
1, 2, 79
1, 3, 58
1, 4, 22

2, 5, 33
2, 6, 81
2, 7, 48

3, 5, 68
3, 6, 97
3, 7, 41

4, 5, 61
4, 6, 34
4, 7, 79

5, 8, 27

6, 8, 42

7, 8, 91

//graf9
1, 2, 65
1, 3, 98
1, 4, 11

2, 5, 14
2, 6, 55
2, 7, 47

3, 5, 80
3, 6, 29
3, 7, 89

4, 5, 92
4, 6, 15
4, 7, 74

5, 8, 82

6, 8, 66

7, 8, 12

//graf10
1, 2, 36
1, 3, 55
1, 4, 69

2, 5, 80
2, 6, 41
2, 7, 39

3, 5, 25
3, 6, 64
3, 7, 76

4, 5, 59
4, 6, 92
4, 7, 10

5, 8, 50

6, 8, 28

7, 8, 57

//graf11
1, 2, 47
1, 3, 32
1, 4, 85

2, 5, 29
2, 6, 76
2, 7, 22

3, 5, 64
3, 6, 88
3, 7, 11

4, 5, 55
4, 6, 23
4, 7, 57

5, 8, 36

6, 8, 49

7, 8, 73

//graf12
1, 2, 84
1, 3, 63
1, 4, 21

2, 5, 93
2, 6, 60
2, 7, 78

3, 5, 41
3, 6, 75
3, 7, 68

4, 5, 24
4, 6, 52
4, 7, 56

5, 8, 33

6, 8, 74

7, 8, 88

//graf13
1, 2, 53
1, 3, 40
1, 4, 64

2, 5, 45
2, 6, 59
2, 7, 37

3, 5, 71
3, 6, 16
3, 7, 92

4, 5, 17
4, 6, 81
4, 7, 46

5, 8, 30

6, 8, 91

7, 8, 25

//graf14
1, 2, 61
1, 3, 24
1, 4, 70

2, 5, 88
2, 6, 11
2, 7, 93

3, 5, 39
3, 6, 85
3, 7, 56

4, 5, 52
4, 6, 15
4, 7, 71

5, 8, 40

6, 8, 34

7, 8, 47

//graf15
1, 2, 77
1, 3, 44
1, 4, 16

2, 5, 50
2, 6, 22
2, 7, 81

3, 5, 31
3, 6, 18
3, 7, 92

4, 5, 73
4, 6, 39
4, 7, 67

5, 8, 60

6, 8, 49

7, 8, 84

//graf16
1, 2, 21
1, 3, 83
1, 4, 40

2, 5, 66
2, 6, 15
2, 7, 55

3, 5, 30
3, 6, 58
3, 7, 81

4, 5, 64
4, 6, 29
4, 7, 42

5, 8, 93

6, 8, 18

7, 8, 61

//graf17
1, 2, 68
1, 3, 54
1, 4, 23

2, 5, 95
2, 6, 75
2, 7, 38

3, 5, 72
3, 6, 46
3, 7, 24

4, 5, 20
4, 6, 91
4, 7, 65

5, 8, 50

6, 8, 82

7, 8, 90

//graf18
1, 2, 95
1, 3, 33
1, 4, 47

2, 5, 23
2, 6, 80
2, 7, 56

3, 5, 58
3, 6, 26
3, 7, 36

4, 5, 14
4, 6, 64
4, 7, 79

5, 8, 61

6, 8, 92

7, 8, 27

//graf19
1, 2, 24
1, 3, 65
1, 4, 37

2, 5, 62
2, 6, 77
2, 7, 29

3, 5, 95
3, 6, 41
3, 7, 72

4, 5, 51
4, 6, 20
4, 7, 90

5, 8, 14

6, 8, 88

7, 8, 47

//graf20
1, 2, 53
1, 3, 89
1, 4, 61

2, 5, 27
2, 6, 84
2, 7, 36

3, 5, 15
3, 6, 78
3, 7, 29

4, 5, 93
4, 6, 47
4, 7, 58

5, 8, 69

6, 8, 19

7, 8, 71
